TRAINTrainTimesBenchmarkedRANKS,HIVE-COTE v1.0,TS-CHIEF,InceptionTime,ProximityForest,cBOSS,Catch22,ResNet,ROCKET,WEASEL,TSF,BOSS,RISE,S-BOSS,STC
ACSF1,2.0,1.0,4.0,3.0,5.0,7.0,8.0,6.0,13.0,10.0,11.0,9.0,12.0,14.0
Adiac,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,12.0,13.0,9.0,10.0,11.0,14.0
ArrowHead,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,10.0,12.0,9.0,13.0,11.0,14.0
Beef,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,12.0,11.0,9.0,10.0,13.0,14.0
BeetleFly,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0
BirdChicken,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0
BME,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,12.0,10.0,13.0,11.0,14.0
Car,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,12.0,9.0,11.0,10.0,13.0,14.0
CBF,1.0,3.0,2.0,4.0,6.0,7.0,5.0,8.0,9.0,12.0,10.0,13.0,11.0,14.0
Chinatown,2.0,4.0,1.0,7.0,6.0,5.0,3.0,8.0,9.0,12.0,11.0,13.0,10.0,14.0
ChlorineConcentration,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0
CinCECGTorso,2.0,1.0,4.0,3.0,5.0,7.0,6.0,8.0,11.0,9.0,12.0,10.0,13.0,14.0
Coffee,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0
Computers,1.0,2.0,4.0,3.0,5.0,6.0,8.0,7.0,12.0,9.0,11.0,10.0,13.0,14.0
CricketX,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,11.0,9.0,12.0,10.0,13.0,14.0
CricketY,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,12.0,10.0,11.0,9.0,13.0,14.0
CricketZ,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,11.0,10.0,12.0,9.0,13.0,14.0
Crop,1.0,2.0,3.0,5.0,4.0,7.0,8.0,6.0,9.0,11.0,12.0,10.0,13.0,14.0
DiatomSizeReduction,1.0,3.0,2.0,4.0,6.0,7.0,5.0,8.0,11.0,12.0,9.0,13.0,10.0,14.0
DistalPhalanxOutlineAgeGroup,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,12.0,10.0,11.0,13.0,14.0
DistalPhalanxOutlineCorrect,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,12.0,10.0,11.0,13.0,14.0
DistalPhalanxTW,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,12.0,10.0,11.0,13.0,14.0
Earthquakes,1.0,2.0,4.0,3.0,5.0,6.0,8.0,7.0,10.0,9.0,12.0,11.0,13.0,14.0
ECG200,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,12.0,10.0,13.0,11.0,14.0
ECG5000,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0
ECGFiveDays,2.0,3.0,1.0,5.0,6.0,7.0,4.0,8.0,9.0,12.0,10.0,13.0,11.0,14.0
ElectricDevices,2.0,3.0,4.0,6.0,5.0,8.0,9.0,7.0,1.0,10.0,12.0,11.0,14.0,13.0
EOGHorizontalSignal,3.0,1.0,4.0,2.0,5.0,7.0,8.0,6.0,11.0,9.0,12.0,10.0,14.0,13.0
EOGVerticalSignal,3.0,1.0,4.0,2.0,5.0,7.0,8.0,6.0,11.0,9.0,13.0,10.0,14.0,12.0
EthanolLevel,3.0,1.0,4.0,2.0,5.0,7.0,8.0,6.0,10.0,9.0,13.0,11.0,14.0,12.0
FaceAll,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0
FaceFour,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,10.0,11.0,9.0,12.0,13.0,14.0
FacesUCR,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,13.0,9.0,12.0,11.0,14.0
FiftyWords,1.0,2.0,4.0,3.0,5.0,6.0,8.0,7.0,12.0,11.0,9.0,10.0,13.0,14.0
Fish,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,12.0,9.0,11.0,10.0,13.0,14.0
FordA,2.0,1.0,4.0,3.0,5.0,7.0,8.0,6.0,11.0,9.0,13.0,10.0,14.0,12.0
