dataset_name,metric,best_method
italypowerdemand,TrainTime,TS-CHIEF
italypowerdemand,NLL,Catch22
italypowerdemand,BALACC,Catch22
italypowerdemand,Prec,InceptionTime
italypowerdemand,AUROC,InceptionTime
italypowerdemand,ACC,InceptionTime
italypowerdemand,Recall,HIVE-COTE v1.0
italypowerdemand,F1,ROCKET
italypowerdemand,MCC,ROCKET
adiac,TrainTime,HIVE-COTE v1.0
adiac,NLL,InceptionTime
adiac,BALACC,ResNet
adiac,Prec,Catch22
adiac,AUROC,HIVE-COTE v1.0
adiac,ACC,STC
adiac,Recall,HIVE-COTE v1.0
adiac,F1,ResNet
adiac,MCC,WEASEL
smoothsubspace,TrainTime,InceptionTime
smoothsubspace,NLL,ROCKET
smoothsubspace,BALACC,Catch22
smoothsubspace,Prec,WEASEL
smoothsubspace,AUROC,Catch22
smoothsubspace,ACC,STC
smoothsubspace,Recall,HIVE-COTE v1.0
smoothsubspace,F1,Catch22
smoothsubspace,MCC,Catch22
syntheticcontrol,TrainTime,ProximityForest
syntheticcontrol,NLL,WEASEL
syntheticcontrol,BALACC,ROCKET
syntheticcontrol,Prec,S-BOSS
syntheticcontrol,AUROC,ROCKET
syntheticcontrol,ACC,InceptionTime
syntheticcontrol,Recall,WEASEL
syntheticcontrol,F1,InceptionTime
syntheticcontrol,MCC,HIVE-COTE v1.0
distalphalanxtw,TrainTime,WEASEL
distalphalanxtw,NLL,S-BOSS
distalphalanxtw,BALACC,BOSS
distalphalanxtw,Prec,TS-CHIEF
distalphalanxtw,AUROC,ResNet
distalphalanxtw,ACC,TSF
distalphalanxtw,Recall,ROCKET
distalphalanxtw,F1,BOSS
distalphalanxtw,MCC,Catch22
pigartpressure,TrainTime,ProximityForest
pigartpressure,NLL,TSF
pigartpressure,BALACC,ROCKET
pigartpressure,Prec,BOSS
pigartpressure,AUROC,TSF
pigartpressure,ACC,InceptionTime
pigartpressure,Recall,TSF
pigartpressure,F1,TS-CHIEF
pigartpressure,MCC,HIVE-COTE v1.0
forda,TrainTime,ResNet
forda,NLL,RISE
forda,BALACC,HIVE-COTE v1.0
forda,Prec,ROCKET
forda,AUROC,STC
forda,ACC,Catch22
forda,Recall,HIVE-COTE v1.0
forda,F1,cBOSS
forda,MCC,InceptionTime
osuleaf,TrainTime,S-BOSS
osuleaf,NLL,ProximityForest
osuleaf,BALACC,Catch22
osuleaf,Prec,InceptionTime
osuleaf,AUROC,TS-CHIEF
osuleaf,ACC,Catch22
osuleaf,Recall,ROCKET
osuleaf,F1,Catch22
osuleaf,MCC,Catch22
shapesall,TrainTime,ResNet
shapesall,NLL,ROCKET
shapesall,BALACC,ResNet
shapesall,Prec,InceptionTime
shapesall,AUROC,InceptionTime
shapesall,ACC,STC
shapesall,Recall,InceptionTime
shapesall,F1,ResNet
shapesall,MCC,ResNet
herring,TrainTime,ProximityForest
herring,NLL,Catch22
herring,BALACC,S-BOSS
herring,Prec,RISE
herring,AUROC,cBOSS
herring,ACC,S-BOSS
herring,Recall,cBOSS
herring,F1,S-BOSS
herring,MCC,S-BOSS
haptics,TrainTime,InceptionTime
haptics,NLL,S-BOSS
haptics,BALACC,Catch22
haptics,Prec,Catch22
haptics,AUROC,HIVE-COTE v1.0
